,ID,STOP,PARKLOC,DESTINATION,MTIME,ETIME,Driver name,Phone Number
,313,Machavaram Stop,Rajamundry Ground,Mandapeta,7:55,4:00,C4,998888888
,,,,,,,,
,472,Tossipudi,Rajamundry Ground,Rayavaram ,7:55,6:00,C6,998888888
,,,,,,,,
,429,Ubalanka,Kakinada Ground,Merla Palem,7:55,8:00,C8,998888888
,220,Savitri nagar,Rajamundry Ground,Rajahmundry,19:55,9:00,C9,998888888
,142,CD point,Kakinada Ground,Kakinada,19:55,10:00,C10,998888888
,220,Hukumpeta junction ,Rajamundry Ground,Rajamundry,19:55,11:00,C11,998888888
,110,Ranjaraju Naagar,kakinada Ground,Kakinada,19:55,12:00,C12,998888888
,213,Jampeta,Rajamundry Ground,Rajamundry,20:55,13:00,C13,998888888
,114,Apsp,kakinada Ground,kakinada,21:55,14:00,C14,998888888
,438,Samarlakot Railway station,Kakinada Ground,Samarlakota,22:55,15:00,C15,998888888
,435,Ravulapalem,kakinada Ground,Ravulapalem,23:55,16:00,C16,998888888
,431,Jonnada,kakinada Ground,Jonnada,0:55,17:00,C17,998888888
,233,Kapavaram,rajamundry Ground,Kovvuru,1:55,18:00,C18,998888888
,403,Ubalanka,kakinada Ground,Merla Palem,2:55,19:00,C19,998888888
,110,RTO,kakinada Ground,kakinada,3:55,20:00,C20,998888888
,,,,,,,,
,444,Rajanagaram,kakinada Ground,Rajanagaram,5:55,22:00,C22,998888888
